URG Flag Count,Fwd Packet Length Mean,Avg Fwd Segment Size,Down/Up Ratio,Packet Length Min,Protocol,Bwd Packet Length Min,CWE Flag Count,ACK Flag Count,Fwd Packet Length Min,Packet Length Mean,Avg Bwd Segment Size,Bwd Packet Length Mean,Fwd Packet Length Max,Avg Packet Size,Label
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,442.93332,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,443.3846,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,452.94116,DrDoS_NTP
0,1448.0,1448.0,0.0,1448.0,17,0.0,0,0,1448.0,1448.0,0.0,0.0,1448.0,2172.0,DrDoS_DNS
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,443.0137,DrDoS_NTP
0,445.0,445.0,0.0,418.0,17,0.0,0,0,418.0,441.14285,0.0,0.0,490.0,514.6667,UDP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,476.66666,DrDoS_NTP
0,426.15384,426.15384,0.0,80.0,17,0.0,0,0,80.0,426.4151,0.0,0.0,440.0,434.6154,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,448.8,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,453.75,DrDoS_NTP
0,416.0,416.0,0.0,296.0,17,0.0,0,0,296.0,417.84616,0.0,0.0,440.0,452.66666,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,444.07407,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,495.0,DrDoS_NTP
0,416.0,416.0,0.0,296.0,17,0.0,0,0,296.0,417.84616,0.0,0.0,440.0,452.66666,DrDoS_NTP
0,368.0,368.0,0.0,80.0,17,0.0,0,0,80.0,374.54544,0.0,0.0,440.0,412.0,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,444.15094,DrDoS_NTP
0,0.0,0.0,0.0,0.0,6,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,Syn
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,484.0,DrDoS_NTP
0,349.5,349.5,0.0,330.0,17,0.0,0,0,330.0,345.6,0.0,0.0,369.0,432.0,UDP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,513.3333,DrDoS_NTP
